Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-12.352941176471,547,17,0.00082937029004097,0.027333959957585,0
2,3.28,568,25,-0.015955855160952,0.024399156646803,1853.2487101555
3,-10.745,1587,50,-0.04002983725071,0.023911268580705,4738.9991998672
4,-13.666666666667,576,21,-0.021115227997303,0.027273571142927,7648.6803650856
5,4.9786585365854,1740,82,-0.052541925430298,0.026042224757373,10568.621224165
6,-2.2045454545455,567,22,-0.047908736944199,0.028969800889492,13514.659698248
7,-14.1484375,923,32,-0.050299361824989,0.028472188197076,16481.173532248
8,1,582,24,-0.022397070169449,0.02070509136375,19472.213679314
9,-19.891304347826,586,23,-0.041784821867943,0.024664424210321,22485.965064049
10,-14.4375,567,20,-0.063855166316032,0.030764868427068,25520.983683109
11,-19.011363636364,553,22,-0.09504049217701,0.03342449611146,28549.404037952
12,-16.329545454545,726,22,-0.12252291846275,0.03835753168771,31593.315760136
13,-9.8425925925926,850,27,-0.12895621919632,0.034671363378526,34623.699748039
14,-6.1666666666667,517,15,-0.14886118376255,0.032452720825095,37662.579718828
15,-17.038461538462,728,26,-0.13114638340473,0.033712715710048,40696.674022913
16,-19,566,19,-0.19647386515141,0.03248389304895,43748.12767005
17,-19.913265306122,1244,49,-0.24450411760807,0.035744567394257,46811.069835186
18,-17.763157894737,1005,38,-0.29554573619366,0.03675818355009,49869.176441431
19,-19.454545454545,598,22,-0.27713277065754,0.056914875906426,52920.243164301
20,-14.986111111111,714,18,-0.28785525941849,0.061606936244294,55978.05390048
21,-12.513157894737,704,19,-0.31740967047215,0.040825152235106,59030.078924179
22,-19.875,1139,44,-0.31587430310249,0.041830532593653,62078.087513208
23,-11.973684210526,709,19,-0.30709554183483,0.036709113527089,65080.992939234
24,-10.342105263158,598,19,-0.33734118914604,0.040537785271183,68080.805202246
25,-6.3214285714286,929,28,-0.27032305586338,0.037287141215988,71091.365906477
26,-16.111111111111,696,18,-0.21350250959396,0.036020501473453,74456.818608284
27,-16.039473684211,691,19,-0.20027073895931,0.037381986066233,77459.906303406
28,-18.794642857143,847,28,-0.16577923822403,0.036279377653729,80472.901323557
29,-16.321428571429,519,14,-0.16614373016357,0.036354737143032,83495.177422523
30,-17.575,686,20,-0.1629597299099,0.04528989072144,86509.107819557
