Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-11.25,547,17,-0.022026317223907,0.020198165625334,0
2,-20.17,568,25,-0.04641988992691,0.013739513330162,1853.2487101555
3,-12.595,1587,50,-0.064600818932056,0.029137924715877,4738.9991998672
4,-6.5833333333333,576,21,-0.051100649297237,0.023595076441765,7648.6803650856
5,-20.875,1740,82,-0.045074989318848,0.022099993273616,10568.621224165
6,-17.090909090909,567,22,-0.016678276002407,0.019567097578198,13514.659698248
7,-7.390625,923,32,-0.013433264136314,0.035526426170021,16481.173532248
8,-18.6875,582,24,-0.047428324580193,0.024294663522393,19472.213679314
9,0.81521739130435,586,23,-0.11416205596924,0.025039088575053,22485.965064049
10,-6.1875,567,20,-0.12096249431372,0.035912665607873,25520.983683109
11,0.875,553,22,-0.11538840609789,0.032637817841955,28549.404037952
12,-7.125,726,22,-0.12101293635368,0.03908227335359,31593.315760136
13,-13.407407407407,850,27,-0.14093002921343,0.041807466906495,34623.699748039
14,-18.083333333333,517,15,-0.20034552669525,0.056665569891222,37662.579718828
15,-3.3846153846154,728,26,-0.265248480618,0.044714272328652,40696.674022913
16,-2.75,566,19,-0.25556861174107,0.049150885151234,43748.12767005
17,0.9030612244898,1244,49,-0.24537132835388,0.045838969773613,46811.069835186
18,-1.875,1005,38,-0.20086278235912,0.049287679118104,49869.176441431
19,-0.93181818181818,598,22,-0.15542751729488,0.04646459036693,52920.243164301
20,-13.180555555556,714,18,-0.15927488678694,0.046686877326109,55978.05390048
21,-14.486842105263,704,19,-0.16698158144951,0.044650202055927,59030.078924179
22,0.75,1139,44,-0.093899932324886,0.043945835517719,62078.087513208
23,-14.671052631579,709,19,-0.062830573558807,0.045137236217037,65080.992939234
24,-12.710526315789,598,19,-0.033643757283688,0.045228893704712,68080.805202246
25,-17.973214285714,929,28,0.014084318518639,0.047282483488321,71091.365906477
26,-11.805555555556,696,18,0.048644723296165,0.045284945465624,74456.818608284
27,-11.039473684211,691,19,0.14962560451031,0.041659969978034,77459.906303406
28,-3.3035714285714,847,28,0.091666147172451,0.041126533688977,80472.901323557
29,-10.517857142857,519,14,0.092228712022305,0.04186979227839,83495.177422523
30,-7.5125,686,20,0.12615469282866,0.038390983216465,86509.107819557
31,-16.045454545455,427,11,0.16480913150311,0.038114958232269,89516.892535448
32,-15.895833333333,439,12,0.17521106117964,0.040174690205604,92509.944949389
33,-12.519230769231,493,13,0.19621461397409,0.044320241136476,95515.364245415
34,-10.826923076923,500,13,0.16478013241291,0.03882261980325,98538.464844465
35,-17.153846153846,490,13,0.14321630263329,0.041511953729205,101545.67380142
36,-15.5,489,12,0.11221461379528,0.04190587349236,104565.05976629
37,-11.886363636364,415,11,0.098011219799519,0.037842316889204,107557.31085825
38,-13.788461538462,449,13,0.1094850730896,0.036203425718471,110563.57991529
39,-14.514705882353,643,17,0.096934471487999,0.037548641140573,113553.20760727
40,-12.613636363636,439,11,0.12856424659491,0.035460023349151,116573.10384536
41,-17.3,539,15,0.14773236596584,0.034919066805858,119602.37818432
42,-14.777777777778,360,9,0.13221014523506,0.035461233332753,122643.66008639
43,-16.583333333333,481,12,0.1067987023592,0.031970723539591,125665.90826011
44,-15.409090909091,420,11,0.13014798927307,0.035180839031935,128680.62530828
45,-13.272727272727,407,11,0.096371849060059,0.035471203010529,131705.14903736
46,-12.4,372,10,0.12734847903252,0.034236836878583,134712.71475434
47,-6,396,12,0.1212975230813,0.030816859727725,137733.19209051
48,-15.805555555556,374,9,0.1186571495533,0.035329016719013,140749.8140893
49,-13.425,380,10,0.086061958432198,0.0307808713587,143770.8537302
50,-15.055555555556,346,9,0.090420981049538,0.032709428630769,146801.87147307
51,-12.4375,478,12,0.11497986483574,0.031309688353911,149838.03255987
52,-10.375,374,10,0.11617774283886,0.032193318966776,152843.86857486
53,-10.375,361,10,0.1357577880621,0.036922869921662,155836.19525099
54,-10.875,374,10,0.14001373767853,0.039279997609556,158878.77326703
55,-11.772727272727,413,11,0.13920881605148,0.030879472235218,161907.93762589
56,-10.45,359,10,0.13384447109699,0.034293823663145,164959.00357485
57,-14.4,376,10,0.12579261171818,0.032977014446631,167964.01353598
58,-12.833333333333,360,9,0.13741466021538,0.034957044512033,170963.46770382
59,-13.675,374,10,0.13554467487335,0.032587719732895,173959.79004407
60,-9.675,359,10,0.1283846218586,0.03228870106861,176995.46294403
61,-1.8833333333333,429,15,0.10752998292446,0.033881811052561,180024.85727596
62,-14.431818181818,419,11,0.13602916538715,0.031183257451281,183063.08219004
63,-12.55,364,10,0.1411640816927,0.035830748300999,186085.26321888
64,-13.675,364,10,0.13390322732925,0.03039492443949,189114.62298989
65,-15,365,10,0.16171702218056,0.031493642576039,192137.97750092
66,-16.305555555556,361,9,0.14895478498936,0.028515401256271,195184.31896782
67,-14.111111111111,330,9,0.14906409704685,0.034287901156582,198208.45438385
68,-15.722222222222,314,9,0.16527233350277,0.031774870052934,201264.16876793
69,-9.025,361,10,0.1847889149189,0.0319969650805,204330.46117401
70,-14.305555555556,343,9,0.18708206498623,0.029576429188251,207367.36512089
71,-16.75,340,9,0.19180698692799,0.028971399366856,210394.67483687
72,-14.222222222222,335,9,0.23490184652805,0.034007699653506,213406.28694057
73,-12.75,330,9,0.22783434331417,0.029517960537225,216401.18172574
74,-14.15,366,10,0.2203871024847,0.029430883809924,219403.89151478
75,-13.0625,318,8,0.22859213721752,0.029511279068887,222408.20259905
76,-13.805555555556,340,9,0.20844653385878,0.027854178383946,225461.34652686
77,-10.84375,324,8,0.20289381372929,0.02774667654559,228506.12891603
78,-16.46875,319,8,0.16040451908112,0.030247389111668,231499.46051288
79,-12.805555555556,357,9,0.14438503944874,0.030913321133703,234527.91388178
80,-13.9375,320,8,0.16219390559196,0.032817014321685,237533.10557556
81,-13.5,461,12,0.1669005920887,0.029075888812542,240559.18904567
82,-10.944444444444,326,9,0.14216573596001,0.028492409624159,243585.51751566
83,-17.625,374,10,0.17459906148911,0.029121529079974,246613.00346756
84,-13.125,404,10,0.16748613035679,0.028448160957545,249631.14078665
85,-12.138888888889,363,9,0.17306335294247,0.029834900505841,252641.4623425
86,-13.840909090909,403,11,0.18577182674408,0.03069648785796,255642.5714035
87,-14.375,333,8,0.16826687574387,0.027692098695785,258670.40927029
88,-14.972222222222,355,9,0.15338295567036,0.030362812533975,261682.58066964
