Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-28.440476190476,674,21,-0.078805467367172,0.039509000293911,0
2,-23.939189189189,991,37,-0.19247976750135,0.049804273158312,2115.9324629307
3,-24.796875,891,32,-0.3266643422842,0.045056506931782,4963.2593638897
4,-27.617647058824,579,17,-0.37178059887886,0.05166561716795,7856.8729798794
5,-17.34375,544,24,-0.42195177257061,0.038914656162262,10780.833153009
6,-25.392857142857,984,35,-0.44268959724903,0.037266859948635,13695.362179756
7,-27.629032258065,952,31,-0.46903250986338,0.043649382352829,16637.670908928
8,-22.737704918033,1659,61,-0.61683112418652,0.041099587380886,19597.94380188
9,-22.085820895522,1505,67,-0.65997887200117,0.039472180187702,22610.275089979
10,-22.977272727273,1054,44,-0.72120541602373,0.042340319633484,26011.902555943
11,-21.684782608696,510,23,-0.76017710638046,0.034048043489456,29419.893827915
12,-28.8125,550,16,-0.75746470314264,0.035089691400528,32803.928194046
13,-29.826923076923,487,13,-0.80500614327192,0.043355384588242,36173.552186966
14,-23.808823529412,515,17,-0.81714948797226,0.035739391088486,39532.436095715
15,-30.903846153846,475,13,-0.77060514008999,0.040142685949802,42889.226594687
16,-29.979166666667,447,12,-0.7682787065506,0.043726075947285,45901.21411252
17,-31.727272727273,421,11,-0.70375599229336,0.044094051361084,48914.93513751
18,-31.681818181818,410,11,-0.67170395106077,0.042927358448505,51929.802863598
19,-33.727272727273,429,11,-0.67993818211555,0.039811842501163,54943.719038486
20,-27.910714285714,440,14,-0.58732054197788,0.03741382163763,57958.526197433
21,-33.1,397,10,-0.55022555148602,0.040578206688166,60973.126054525
22,-31.65,388,10,-0.57079403340816,0.039794300436974,63989.139203548
23,-31.045454545455,425,11,-0.5507935795188,0.040159463077784,67004.544019699
24,-30.431818181818,401,11,-0.51569227671623,0.037448912441731,70036.117438555
25,-32.25,392,10,-0.52514779758453,0.039347346395254,73039.492605686
26,-32.25,110,3,-0.47071734595299,0.036341747313738,76062.590397596
27,-32.3,383,10,-0.4714185205698,0.036542771577835,79094.062027454
28,-32.111111111111,344,9,-0.46518271881342,0.033119259476662,82460.400069475
