training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
1;1;1;0;21;33124;21;-21
1;2;2;0;21;28736;21;-21
1;3;3;0;21;33024;21;-21
1;4;1;0;21;40620;21;-21
1;5;1;0;21;33084;21;-21
1;6;1;0;21;43828;21;-21
1;7;3;0;21;34192;21;-21
1;8;1;0;21;29188;21;-21
1;9;2;0;21;48660;21;-21
1;10;1;0;21;26436;21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
2;1;21;1;27;15996;-15;15
2;2;2;0;21;28736;21;-21
2;3;3;0;21;33024;21;-21
2;4;1;0;21;40620;21;-21
2;5;24;1;22;3832;-20;20
2;6;24;1;23;4392;-19;19
2;7;24;1;24;10428;-18;18
2;8;1;0;21;29188;21;-21
2;9;24;1;26;20716;-16;16
2;10;1;0;21;26436;21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
3;1;7;2;26;34920;16;-16
3;2;12;7;24;29192;-18;18
3;3;19;7;27;30132;-15;15
3;4;15;7;36;56284;-6;6
3;5;11;6;31;42184;11;-11
3;6;23;8;37;60664;5;-5
3;7;10;4;31;42704;11;-11
3;8;4;1;28;44344;-14;14
3;9;14;5;23;31504;-19;19
3;10;1;0;21;26436;21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
4;1;21;1;21;1256;-21;21
4;2;21;1;21;1256;-21;21
4;3;21;1;21;1256;-21;21
4;4;21;1;21;1256;-21;21
4;5;21;1;21;1256;-21;21
4;6;21;1;21;1256;-21;21
4;7;34;1;31;1960;-11;11
4;8;21;0;21;1296;21;-21
4;9;21;1;21;1256;-21;21
4;10;21;0;21;1296;21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
5;1;23;4;32;2000;10;-10
5;2;24;4;25;1548;17;-17
5;3;24;2;25;1540;17;-17
5;4;23;2;22;1356;20;-20
5;5;23;4;32;2000;10;-10
5;6;23;2;24;1488;18;-18
5;7;23;2;22;1360;20;-20
5;8;23;4;26;1616;16;-16
5;9;23;2;30;1872;12;-12
5;10;23;4;32;2004;10;-10
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
6;1;54;20;32;1948;-10;10
6;2;30;3;26;1648;-16;16
6;3;41;17;29;1804;-13;13
6;4;36;7;30;1868;-12;12
6;5;41;20;30;2432;-12;12
6;6;38;11;34;2088;-8;8
6;7;33;9;26;1628;-16;16
6;8;41;15;30;1840;-12;12
6;9;42;16;29;1816;-13;13
6;10;43;15;31;1924;-11;11
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
7;1;54;28;35;2204;-7;7
7;2;63;42;37;2332;-5;5
7;3;66;47;37;2312;-5;5
7;4;47;39;32;1988;-10;10
7;5;54;39;32;1984;-10;10
