Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-19.894736842105,1652,76,0.030753178421408,0.020417045775801,0
2,10.864864864865,1032,37,0.055571975842118,0.020495216928422,2140.1843442917
3,-6.75,566,20,0.078522597447038,0.018338140755892,5024.0690410137
4,-17.782608695652,544,23,0.11758578260243,0.019854311227798,7954.2796509266
5,8.2571428571429,982,35,0.14490511378646,0.019651415139437,10895.232643127
6,-1.3636363636364,735,22,0.156849973768,0.018027543753386,13843.955490112
7,4.0555555555556,607,18,0.15613037407398,0.03612357429415,16800.791962147
8,17.246376811594,1712,69,0.16600373826176,0.040893536631949,19781.40379405
9,8.2608695652174,1735,69,0.16087171534449,0.053060119055212,22781.630583048
10,-20.964705882353,1804,85,0.21962278755754,0.079659719966352,25832.945611
11,-18.073529411765,1622,68,0.32419759770483,0.085290238887072,28871.55139184
12,8.2558139534884,1330,43,0.38745628522336,0.087929436858743,31952.171814919
13,6.5526315789474,1282,38,0.45150299651921,0.09053659071913,34966.254708767
14,6,1087,32,0.49048775991797,0.080990801326931,37979.379287958
15,7.1935483870968,1058,31,0.54364813241363,0.075845399744809,41006.026421785
16,-2.8636363636364,843,22,0.6258010738343,0.073953761775978,44023.744074583
17,4.25,841,24,0.71101898576319,0.07438159080036,47071.221020699
18,1.6315789473684,732,19,0.78495635423064,0.065564899936318,50115.644058466
19,7,762,22,0.84685340037942,0.066515339031816,53143.724182606
20,7.4117647058824,599,17,0.89461297640204,0.06911209545657,56224.953065634
21,4.0526315789474,681,19,1.0150132971406,0.071963771987706,59252.510054588
22,-2.2631578947368,707,19,0.97882900413871,0.061374731684104,62302.120079756
23,-3.3571428571429,526,14,1.0373114794493,0.055309426490217,65340.640899897
24,0.47368421052632,750,19,1.0033243787885,0.056636636704206,68390.421947956
25,3.2941176470588,640,17,0.92811875632405,0.054018623730168,71446.502653837
26,3,656,18,0.93651082640886,0.055023560766131,74549.215828657
27,4,514,13,0.94254752320051,0.058531855151057,77634.196890831
28,4,524,14,0.89031834989786,0.056271550633013,80685.836214781
29,2.1764705882353,617,17,0.86999075606465,0.051859064750373,83716.217218876
30,1.625,564,16,0.82614176213741,0.057562429867685,86816.62901473
31,2.7333333333333,590,15,0.82187315291166,0.058495092704892,89896.952369928
32,4.6666666666667,539,15,0.789477578789,0.0587079064399,92944.94702816
33,-0.375,593,16,0.79569136279821,0.05894677489996,96033.474353313
34,5.4285714285714,517,14,0.78301355272532,0.054899339735508,99126.870426178
35,8.3333333333333,418,12,0.79044949617982,0.056301230795681,102218.8840003
36,7.2666666666667,544,15,0.80112966805696,0.055791450798512,105332.10956836
37,5.5333333333333,521,15,0.78027736347914,0.050847516030073,108390.310781
38,8.2857142857143,480,14,0.8137402973175,0.048504514113069,111577.00082707
39,8.2,525,15,0.79286936756968,0.052606489300728,114681.56327724
40,5.6666666666667,558,15,0.78303875213861,0.046839555993676,117785.27115202
41,4.1818181818182,400,11,0.81350393545628,0.055344005376101,120884.00687814
42,6.0833333333333,458,12,0.82606654143333,0.048681836031377,123987.18336725
43,1.0666666666667,569,15,0.79435331770778,0.057932917118073,127176.64506316
44,3,568,16,0.77271989172697,0.051193475157022,130457.61719894
45,1.3333333333333,447,12,0.77484880280495,0.045013084542006,133590.15817618
46,6.3571428571429,507,14,0.78015144973993,0.047682569071651,136745.98338032
47,0.78571428571429,538,14,0.77643180459738,0.049572788715363,140288.5203855
48,0.75,438,12,0.79014997059107,0.044922678057104,143582.21646833
49,9,569,17,0.80040570390224,0.049333242207766,146885.37541223
50,3.2857142857143,513,14,0.77136175608635,0.047377686411142,150514.73280025
51,-0.85714285714286,516,14,0.74489397323132,0.044408887729049,153905.42626715
52,0.66666666666667,355,9,0.75983708006144,0.04565731857717,156998.08905911
53,3.9230769230769,483,13,0.74724908590317,0.049826633743942,160223.2752831
54,7.3333333333333,431,12,0.74608357340097,0.044874432623386,163514.40027618
55,-0.25,476,12,0.72551223999262,0.050711758375168,166998.89249229
56,5.3846153846154,458,13,0.75233506691456,0.046698903981596,170359.70756102
57,3.2,359,10,0.73104023519158,0.04379932167381,173823.41051316
58,4.8571428571429,492,14,0.71849496692419,0.042877251973376,177196.93280435
59,2.0833333333333,411,12,0.72559829336405,0.043330619191751,180707.99882913
60,6.4545454545455,418,11,0.70747312837839,0.043838432177901,184368.79880023
61,6.6923076923077,478,13,0.70651694011688,0.046224248636514,188232.23590922
62,7.25,437,12,0.68852741104364,0.049908312603831,191757.69521713
63,5.3,369,10,0.66830239707232,0.042447510216385,195594.75462699
64,5.6153846153846,468,13,0.6702712700367,0.040575239777565,199862.88124394
65,4.3636363636364,424,11,0.66358332365751,0.045900904551148,203532.96440005
66,6.2,376,10,0.67817037689686,0.040241999074817,207733.68452883
67,8.6153846153846,444,13,0.69724605107307,0.047058273538947,211655.73910689
68,0.61538461538462,488,13,0.6848148176074,0.042222519740462,215466.90428996
69,4,486,13,0.6842090305686,0.046335531935096,219559.02877498
70,0.33333333333333,447,12,0.69121128064394,0.04058175695315,223804.84991622
71,6.5384615384615,472,13,0.69477743583918,0.045939372435212,227838.63679528
72,4.6363636363636,417,11,0.67862904149294,0.040864990450442,232027.32367206
73,8.2307692307692,443,13,0.67067655992508,0.044045647501945,236188.94491291
74,3.3333333333333,450,12,0.67136865311861,0.043262280382216,241381.24751687
75,3.5384615384615,478,13,0.65915973466635,0.044760326504707,245670.82948804
76,5.0833333333333,442,12,0.67250486266613,0.046776309124194,250570.50234628
77,1.3636363636364,452,11,0.66918101072311,0.049758086398244,258795.74901628
78,-2.9090909090909,444,11,0.68012343931198,0.042351133339107,265376.65494132
79,-1,433,11,0.70117538625002,0.044687234297395,273031.80326462
80,-0.4,407,10,0.71243719160557,0.043381349245086,279453.38454461
81,1.9,396,10,0.7182938054204,0.042881715647876,287339.86959958
82,6.5,427,12,0.7005225251317,0.045902971506119,294809.03612781
83,6.0769230769231,445,13,0.69715527999401,0.046531330704689,301846.70236588
84,2,446,12,0.69628106099367,0.046715326815844,308882.32642794
85,1.2,396,10,0.69748233801126,0.040650709867477,315383.48060513
86,5.2727272727273,397,11,0.70037325745821,0.040244948428124,321902.52821803
87,2,449,11,0.70343012046814,0.045980382755399,328601.83020878
88,6.3333333333333,431,12,0.69383743393421,0.041914516195655,334467.63142991
89,1.6666666666667,452,12,0.69825469052792,0.039878826737404,339582.35990906
90,0.090909090909091,414,11,0.68960511600971,0.040170164361596,345550.17142677
91,1.2727272727273,424,11,0.67836646288633,0.042912368401885,351840.05597472
92,2.3333333333333,447,12,0.68362768256664,0.043504333540797,357930.80812883
93,1.2,403,10,0.67348195332289,0.04388574296236,364560.41527987
94,1.9,423,10,0.6916718544364,0.043883678305894,369735.55567384
95,0.33333333333333,438,12,0.70352491497993,0.04276246599108,373734.55882072
96,-2.5,374,10,0.72184679532051,0.041803027048707,377166.37988877
97,-0.75,444,12,0.7270547606945,0.045335452474654,381859.93837285
98,3.0909090909091,422,11,0.72387615138292,0.043761293586344,389255.18656874
99,4.3636363636364,393,11,0.72118641269207,0.042639298856258,395686.37279058
